source,model,language,total_programs,final_analyzed,stage2_kappa_score
GITHUB,chatgpt,C,219,219,0.0312
GITHUB,gemini,C,55,55,0.0312
GITHUB,copilot,C,30,30,0.0312
GITHUB,gpt4,C,7,7,0.0312
GITHUB,deepseek,C,6,6,0.0312
GITHUB,gemini,JavaScript,859,859,0.0312
GITHUB,chatgpt,JavaScript,723,723,0.0312
GITHUB,gpt4,JavaScript,204,204,0.0312
GITHUB,copilot,JavaScript,187,187,0.0312
GITHUB,deepseek,JavaScript,52,52,0.0312
GITHUB,deepseek,Python,971,971,0.0312
GITHUB,gemini,Python,957,957,0.0312
GITHUB,chatgpt,Python,902,902,0.0312
GITHUB,copilot,Python,727,727,0.0312
GITHUB,gpt4,Python,421,421,0.0312
